	precision	recall	f1-score	support
BD	0.7304347826086957	0.8823529411764706	0.7992388201712655	476.0
D	0.7541666666666667	0.5915032679738562	0.6630036630036631	306.0
HUS	1.0	0.05714285714285714	0.1081081081081081	35.0
accuracy	0.7380660954712362	0.7380660954712362	0.7380660954712362	0.7380660954712362
macro avg	0.8282004830917874	0.510333022097728	0.5234501970943456	817.0
weighted avg	0.7508714278111862	0.7380660954712362	0.7186053648279401	817.0
