	precision	recall	f1-score	support
BD	0.7857142857142857	0.8319327731092437	0.8081632653061225	476.0
D	0.7482758620689656	0.7091503267973857	0.7281879194630873	306.0
HUS	0.34782608695652173	0.22857142857142856	0.27586206896551724	35.0
accuracy	0.7600979192166463	0.7600979192166463	0.7600979192166463	0.7600979192166463
macro avg	0.6272720782465909	0.5898848428260194	0.6040710845782423	817.0
weighted avg	0.7529330805833313	0.7600979192166463	0.7554056181826343	817.0
