	precision	recall	f1-score	support
BD	0.8046218487394958	0.8046218487394958	0.8046218487394957	476.0
D	0.7160883280757098	0.7418300653594772	0.7287319422150883	306.0
HUS	0.5416666666666666	0.37142857142857144	0.44067796610169496	35.0
accuracy	0.762545899632803	0.762545899632803	0.762545899632803	0.762545899632803
macro avg	0.6874589478272908	0.6392934951758481	0.6580105856854264	817.0
weighted avg	0.7601975051707472	0.762545899632803	0.7606067357789184	817.0
