	precision	recall	f1-score	support
BD	0.7911025145067698	0.8592436974789915	0.823766364551863	476.0
D	0.7482517482517482	0.6993464052287581	0.722972972972973	306.0
HUS	0.5714285714285714	0.22857142857142856	0.32653061224489793	35.0
accuracy	0.7723378212974297	0.7723378212974297	0.7723378212974297	0.7723378212974297
macro avg	0.7035942780623632	0.5957205104263927	0.6244233165899113	817.0
weighted avg	0.7656423890700825	0.7723378212974297	0.7647136972888471	817.0
