	precision	recall	f1-score	support
BD	0.7730769230769231	0.8445378151260504	0.8072289156626506	476.0
D	0.74822695035461	0.6895424836601307	0.717687074829932	306.0
HUS	0.5333333333333333	0.22857142857142856	0.32	35.0
accuracy	0.7600979192166463	0.7600979192166463	0.7600979192166463	0.7600979192166463
macro avg	0.6848790689216221	0.5875505757858699	0.6149719968308609	817.0
weighted avg	0.7534990561319371	0.7600979192166463	0.7528191049612986	817.0
