	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_subsample	param_n_estimators	param_min_child_weight	param_max_depth	param_gamma	param_eta	param_colsample_bytree	params	split0_test_accuracy	split1_test_accuracy	split2_test_accuracy	split3_test_accuracy	split4_test_accuracy	split5_test_accuracy	split6_test_accuracy	split7_test_accuracy	split8_test_accuracy	split9_test_accuracy	mean_test_accuracy	std_test_accuracy	rank_test_accuracy	split0_test_balanced_accuracy	split1_test_balanced_accuracy	split2_test_balanced_accuracy	split3_test_balanced_accuracy	split4_test_balanced_accuracy	split5_test_balanced_accuracy	split6_test_balanced_accuracy	split7_test_balanced_accuracy	split8_test_balanced_accuracy	split9_test_balanced_accuracy	mean_test_balanced_accuracy	std_test_balanced_accuracy	rank_test_balanced_accuracy
0	0.45794942378997805	0.02265310942815431	0.01838984489440918	0.0021860850395446383	1	200	4	10	3	0.01	0.8	{'subsample': 1, 'n_estimators': 200, 'min_child_weight': 4, 'max_depth': 10, 'gamma': 3, 'eta': 0.01, 'colsample_bytree': 0.8}	0.7073170731707317	0.5975609756097561	0.5853658536585366	0.6951219512195121	0.6419753086419753	0.6296296296296297	0.654320987654321	0.6904761904761905	0.7037037037037037	0.691358024691358	0.6596829698455714	0.042475848489183045	71	0.4751344086021505	0.7403673835125448	0.4930555555555555	0.5837813620071685	0.6500419431098909	0.5825059101654846	0.524468085106383	0.6266183892912004	0.6891634256081751	0.6380614657210402	0.6003197928679593	0.08100382319045603	93
1	1.144822072982788	0.040766113849387844	0.016879725456237792	0.0014343175246179054	1	1000	5	8	9	0.07333333333333333	0.9	{'subsample': 1, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 8, 'gamma': 9, 'eta': 0.07333333333333333, 'colsample_bytree': 0.9}	0.6585365853658537	0.6219512195121951	0.5365853658536586	0.6707317073170732	0.691358024691358	0.5061728395061729	0.6296296296296297	0.5833333333333334	0.691358024691358	0.6419753086419753	0.6231632038542607	0.05998430681689364	99	0.4435483870967742	0.7542562724014337	0.6180555555555555	0.5698924731182796	0.6820712270266148	0.5878250591016548	0.6627659574468084	0.565393899495282	0.6820712270266148	0.6778959810874704	0.6243776039356488	0.08269608730360165	56
2	0.36908693313598634	0.008886413263908806	0.017653632164001464	0.002140839104677985	1	288	5	9	3	0.11555555555555555	0.8	{'subsample': 1, 'n_estimators': 288, 'min_child_weight': 5, 'max_depth': 9, 'gamma': 3, 'eta': 0.11555555555555555, 'colsample_bytree': 0.8}	0.7439024390243902	0.6585365853658537	0.6463414634146342	0.7195121951219512	0.691358024691358	0.6296296296296297	0.6790123456790124	0.7023809523809523	0.7037037037037037	0.7654320987654321	0.6939809437776917	0.04038838092287248	35	0.5073924731182796	0.7788978494623656	0.5319444444444444	0.5938620071684587	0.578052314497064	0.6587470449172577	0.5386524822695035	0.6334211103796358	0.5851445130786243	0.6806146572104019	0.6086728896546035	0.07747932060281834	80
3	0.7104604721069336	0.04951884465871983	0.01807258129119873	0.0012074338827449962	0.8	200	1	9	0	0.052222222222222225	1	{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 9, 'gamma': 0, 'eta': 0.052222222222222225, 'colsample_bytree': 1}	0.7926829268292683	0.6951219512195121	0.7195121951219512	0.7926829268292683	0.6296296296296297	0.7283950617283951	0.7283950617283951	0.7261904761904762	0.8271604938271605	0.7654320987654321	0.7405202821869488	0.053728463735755176	7	0.5313620071684587	0.5761648745519713	0.49722222222222223	0.6507616487455197	0.43491191946922897	0.6432624113475177	0.5630023640661939	0.650976519640114	0.7674063906047434	0.5963356973995272	0.5911406055215498	0.08875014538873788	99
4	0.37852394580841064	0.014389625760110054	0.01645803451538086	0.0014319262502125146	0.7	288	4	7	5	0.1788888888888889	1	{'subsample': 0.7, 'n_estimators': 288, 'min_child_weight': 4, 'max_depth': 7, 'gamma': 5, 'eta': 0.1788888888888889, 'colsample_bytree': 1}	0.7195121951219512	0.6341463414634146	0.6463414634146342	0.7317073170731707	0.6296296296296297	0.6419753086419753	0.6666666666666666	0.6666666666666666	0.7407407407407407	0.7407407407407407	0.681812707015959	0.043766355014332986	48	0.5824372759856631	0.66084229390681	0.6041666666666666	0.6084229390681003	0.5462518111797453	0.6738770685579197	0.6078014184397164	0.6130129471143296	0.710440021352856	0.7466903073286053	0.6353942749600412	0.05819186075376317	34
5	0.5125214576721191	0.017189260690237036	0.0161113977432251	0.0007295294397267326	0.6	377	1	9	7	0.03111111111111111	1	{'subsample': 0.6, 'n_estimators': 377, 'min_child_weight': 1, 'max_depth': 9, 'gamma': 7, 'eta': 0.03111111111111111, 'colsample_bytree': 1}	0.7317073170731707	0.6585365853658537	0.6341463414634146	0.7195121951219512	0.6666666666666666	0.6049382716049383	0.6419753086419753	0.6785714285714286	0.7037037037037037	0.6790123456790124	0.6718770163892115	0.03736451202780297	57	0.5931899641577061	0.775089605734767	0.6777777777777777	0.6052867383512545	0.6642263402730114	0.6445626477541371	0.5936170212765958	0.619815668202765	0.793182338137726	0.7031914893617021	0.6669939591027442	0.06812512613481622	1
6	0.4662104368209839	0.012764701097997455	0.017034029960632323	0.001157014995212164	0.9	377	5	4	7	0.1788888888888889	0.8	{'subsample': 0.9, 'n_estimators': 377, 'min_child_weight': 5, 'max_depth': 4, 'gamma': 7, 'eta': 0.1788888888888889, 'colsample_bytree': 0.8}	0.7073170731707317	0.6463414634146342	0.6219512195121951	0.7073170731707317	0.6419753086419753	0.5802469135802469	0.6419753086419753	0.6428571428571429	0.6790123456790124	0.691358024691358	0.6560351873360004	0.038215029887347665	75	0.4789426523297491	0.7719534050179212	0.6708333333333334	0.5945340501792115	0.5460230305803401	0.6303782505910166	0.5173758865248227	0.5994075049374589	0.6749790284450544	0.7102836879432624	0.6194710829882171	0.08598061116380726	61
7	0.2876507043838501	0.02450640657050703	0.016996002197265624	0.001507188727872061	0.6	200	1	4	5	0.1788888888888889	1	{'subsample': 0.6, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'gamma': 5, 'eta': 0.1788888888888889, 'colsample_bytree': 1}	0.7317073170731707	0.6951219512195121	0.5975609756097561	0.6829268292682927	0.7037037037037037	0.6296296296296297	0.6296296296296297	0.6785714285714286	0.7530864197530864	0.7530864197530864	0.6855024304211296	0.050720623051104884	44	0.492831541218638	0.8035394265232975	0.5	0.5730286738351255	0.5888050026691071	0.6667848699763593	0.5825059101654846	0.6237656352863726	0.8215511324639669	0.6775413711583925	0.6330353563296744	0.10643375659239998	37
8	0.3734764337539673	0.012391874289792711	0.016916394233703613	0.0011025882639034295	1	288	5	10	5	0.1366666666666667	0.8	{'subsample': 1, 'n_estimators': 288, 'min_child_weight': 5, 'max_depth': 10, 'gamma': 5, 'eta': 0.1366666666666667, 'colsample_bytree': 0.8}	0.6829268292682927	0.6341463414634146	0.573170731707317	0.6829268292682927	0.6790123456790124	0.6049382716049383	0.6790123456790124	0.6190476190476191	0.7160493827160493	0.7283950617283951	0.6599625758162342	0.04744496419485086	68	0.46886200716845877	0.7612007168458782	0.5625	0.5730286738351255	0.6749790284450544	0.648581560283688	0.6148936170212765	0.5897520298441957	0.6032181804316327	0.659338061465721	0.615635387534103	0.07396764084884645	68
9	0.43875162601470946	0.010277732948203949	0.017110514640808105	0.0010032795909706534	1	288	2	5	9	0.01	0.7	{'subsample': 1, 'n_estimators': 288, 'min_child_weight': 2, 'max_depth': 5, 'gamma': 9, 'eta': 0.01, 'colsample_bytree': 0.7}	0.6829268292682927	0.6219512195121951	0.5487804878048781	0.6951219512195121	0.6790123456790124	0.5308641975308642	0.5802469135802469	0.5833333333333334	0.6790123456790124	0.6666666666666666	0.6267916290274015	0.05850683087660701	97	0.4650537634408602	0.7542562724014337	0.6291666666666667	0.587589605734767	0.6713185388545718	0.6020094562647754	0.6303782505910166	0.5614439324116743	0.6749790284450544	0.692080378250591	0.6268275893061411	0.07577165189445673	52
