	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_oversampler__k_neighbors	param_model__subsample	param_model__n_estimators	param_model__min_child_weight	param_model__max_depth	param_model__gamma	param_model__eta	param_model__colsample_bytree	params	split0_test_accuracy	split1_test_accuracy	split2_test_accuracy	split3_test_accuracy	split4_test_accuracy	split5_test_accuracy	split6_test_accuracy	split7_test_accuracy	split8_test_accuracy	split9_test_accuracy	mean_test_accuracy	std_test_accuracy	rank_test_accuracy	split0_test_balanced_accuracy	split1_test_balanced_accuracy	split2_test_balanced_accuracy	split3_test_balanced_accuracy	split4_test_balanced_accuracy	split5_test_balanced_accuracy	split6_test_balanced_accuracy	split7_test_balanced_accuracy	split8_test_balanced_accuracy	split9_test_balanced_accuracy	mean_test_balanced_accuracy	std_test_balanced_accuracy	rank_test_balanced_accuracy
0	9.093211054801941	0.5422146343945216	0.15924177169799805	0.018065878494573646	1	0.6	555	3	3	9	0.1788888888888889	0.9	{'oversampler__k_neighbors': 1, 'model__subsample': 0.6, 'model__n_estimators': 555, 'model__min_child_weight': 3, 'model__max_depth': 3, 'model__gamma': 9, 'model__eta': 0.1788888888888889, 'model__colsample_bytree': 0.9}	0.7560975609756098	0.7195121951219512	0.6341463414634146	0.7195121951219512	0.7037037037037037	0.654320987654321	0.5925925925925926	0.7023809523809523	0.7407407407407407	0.691358024691358	0.6914365294446595	0.04784199338558116	60	0.5105286738351255	0.5976702508960573	0.673611111111111	0.5900537634408601	0.5924654922595897	0.4442080378250591	0.48498817966903074	0.6373710774632434	0.606421108823305	0.6219858156028368	0.5759303510926218	0.06871056433337233	35
1	8.68837206363678	0.14276990427638056	0.14649589061737062	0.013223039868138404	4	1	555	3	10	9	0.11555555555555555	0.7	{'oversampler__k_neighbors': 4, 'model__subsample': 1, 'model__n_estimators': 555, 'model__min_child_weight': 3, 'model__max_depth': 10, 'model__gamma': 9, 'model__eta': 0.11555555555555555, 'model__colsample_bytree': 0.7}	0.7317073170731707	0.7439024390243902	0.5975609756097561	0.7073170731707317	0.6172839506172839	0.6296296296296297	0.6172839506172839	0.7142857142857143	0.6790123456790124	0.6419753086419753	0.667995870434895	0.05087704300040896	93	0.5969982078853046	0.6153673835125447	0.7291666666666666	0.5869175627240143	0.5245176542362541	0.49420803782505907	0.4951536643026005	0.640223831468071	0.567299626325021	0.5976359338061465	0.5847488568751682	0.06734204427106139	20
2	15.015434455871581	0.16422524605348132	0.15254635810852052	0.01080170855207535	2	1	1000	5	8	9	0.1366666666666667	0.8	{'oversampler__k_neighbors': 2, 'model__subsample': 1, 'model__n_estimators': 1000, 'model__min_child_weight': 5, 'model__max_depth': 8, 'model__gamma': 9, 'model__eta': 0.1366666666666667, 'model__colsample_bytree': 0.8}	0.7195121951219512	0.6951219512195121	0.6097560975609756	0.7073170731707317	0.7037037037037037	0.5925925925925926	0.6172839506172839	0.7142857142857143	0.6790123456790124	0.6666666666666666	0.6705252290618144	0.044790723567785566	88	0.5976702508960573	0.5913978494623656	0.6680555555555555	0.5831093189964157	0.6891634256081751	0.46891252955082746	0.4951536643026005	0.6362738643844635	0.5636391367345382	0.6158392434988179	0.5909214838989818	0.06571732394054178	13
3	6.966386032104492	0.09922553737532877	0.15166985988616943	0.012605950154792848	2	0.9	288	4	4	0	0.03111111111111111	0.8	{'oversampler__k_neighbors': 2, 'model__subsample': 0.9, 'model__n_estimators': 288, 'model__min_child_weight': 4, 'model__max_depth': 4, 'model__gamma': 0, 'model__eta': 0.03111111111111111, 'model__colsample_bytree': 0.8}	0.7560975609756098	0.7439024390243902	0.7073170731707317	0.8170731707317073	0.7160493827160493	0.7283950617283951	0.691358024691358	0.7261904761904762	0.7407407407407407	0.7901234567901234	0.7417247386759581	0.03609850634755411	13	0.6108870967741935	0.5073924731182796	0.6513888888888889	0.5528673835125448	0.5885762220697018	0.4988179669030733	0.541725768321513	0.5744459073952162	0.606421108823305	0.6947990543735224	0.5827321870180239	0.0583271003022928	23
4	13.11502401828766	0.14189384099903762	0.14818832874298096	0.015018858362124604	3	0.6	644	3	4	0	0.1788888888888889	0.7	{'oversampler__k_neighbors': 3, 'model__subsample': 0.6, 'model__n_estimators': 644, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__gamma': 0, 'model__eta': 0.1788888888888889, 'model__colsample_bytree': 0.7}	0.7682926829268293	0.7804878048780488	0.7073170731707317	0.7926829268292683	0.7283950617283951	0.7283950617283951	0.7037037037037037	0.7142857142857143	0.7530864197530864	0.8148148148148148	0.7491461263818987	0.036692495357305316	5	0.6140232974910395	0.6362007168458781	0.49027777777777776	0.6431451612903226	0.595668420651262	0.502836879432624	0.5407801418439716	0.4990125082290981	0.5131548844657973	0.708983451536643	0.5744083239564414	0.0717235271099209	39
5	10.812598872184754	0.08583164797220431	0.14232232570648193	0.0015488921497633468	1	0.9	733	4	4	9	0.11555555555555555	1	{'oversampler__k_neighbors': 1, 'model__subsample': 0.9, 'model__n_estimators': 733, 'model__min_child_weight': 4, 'model__max_depth': 4, 'model__gamma': 9, 'model__eta': 0.11555555555555555, 'model__colsample_bytree': 1}	0.6707317073170732	0.6585365853658537	0.6463414634146342	0.7195121951219512	0.691358024691358	0.6666666666666666	0.6296296296296297	0.7261904761904762	0.7530864197530864	0.7037037037037037	0.6865756871854434	0.036999054815015246	64	0.4543010752688172	0.4549731182795698	0.6847222222222222	0.5938620071684587	0.5743918249065812	0.5195035460992908	0.5102836879432624	0.650976519640114	0.6061923282238999	0.6290780141843971	0.5678284343936614	0.0760219457864913	58
6	7.159131765365601	0.06302242432789239	0.1462402820587158	0.010265505743396507	2	0.6	466	4	5	9	0.1788888888888889	1	{'oversampler__k_neighbors': 2, 'model__subsample': 0.6, 'model__n_estimators': 466, 'model__min_child_weight': 4, 'model__max_depth': 5, 'model__gamma': 9, 'model__eta': 0.1788888888888889, 'model__colsample_bytree': 1}	0.7682926829268293	0.6463414634146342	0.6341463414634146	0.6829268292682927	0.691358024691358	0.6296296296296297	0.6172839506172839	0.7261904761904762	0.691358024691358	0.6666666666666666	0.6754194089559943	0.044575358114995065	83	0.6216397849462365	0.6563620071684587	0.7583333333333333	0.46124551971326166	0.6784107374361321	0.49420803782505907	0.4951536643026005	0.650976519640114	0.5743918249065812	0.6158392434988179	0.6006560672770596	0.08933146426767374	5
7	6.970176529884339	0.05784622410616853	0.1437772512435913	0.006612965897086615	3	0.6	288	5	5	0	0.1577777777777778	1	{'oversampler__k_neighbors': 3, 'model__subsample': 0.6, 'model__n_estimators': 288, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__gamma': 0, 'model__eta': 0.1577777777777778, 'model__colsample_bytree': 1}	0.7317073170731707	0.7682926829268293	0.7317073170731707	0.7560975609756098	0.691358024691358	0.7160493827160493	0.691358024691358	0.6666666666666666	0.7283950617283951	0.7530864197530864	0.7234718458295694	0.030748606632091585	22	0.5893817204301075	0.6216397849462365	0.6569444444444444	0.514336917562724	0.46671242278654773	0.48770685579196216	0.5336879432624113	0.467851656791749	0.495309997712194	0.6695035460992907	0.5503075289827668	0.07382071951539836	88
8	5.261517572402954	0.06232988229170854	0.15219595432281494	0.01632892177986072	2	1	288	3	6	5	0.052222222222222225	0.8	{'oversampler__k_neighbors': 2, 'model__subsample': 1, 'model__n_estimators': 288, 'model__min_child_weight': 3, 'model__max_depth': 6, 'model__gamma': 5, 'model__eta': 0.052222222222222225, 'model__colsample_bytree': 0.8}	0.7439024390243902	0.7073170731707317	0.6951219512195121	0.7195121951219512	0.691358024691358	0.6172839506172839	0.6419753086419753	0.7380952380952381	0.6666666666666666	0.7283950617283951	0.6949627908977503	0.03972893309941343	56	0.6077508960573476	0.49036738351254483	0.7125	0.4896953405017921	0.5707313353160985	0.4911347517730496	0.5133569739952719	0.6538292736449418	0.556546938152978	0.6513002364066194	0.5737213129360643	0.07591432371831987	43
9	5.9823591947555546	0.06796019059803071	0.15519187450408936	0.01839130851605466	3	0.8	377	2	3	7	0.2	0.7	{'oversampler__k_neighbors': 3, 'model__subsample': 0.8, 'model__n_estimators': 377, 'model__min_child_weight': 2, 'model__max_depth': 3, 'model__gamma': 7, 'model__eta': 0.2, 'model__colsample_bytree': 0.7}	0.6951219512195121	0.7073170731707317	0.6097560975609756	0.6707317073170732	0.6666666666666666	0.6790123456790124	0.6419753086419753	0.7380952380952381	0.6790123456790124	0.6419753086419753	0.6729664042672173	0.03456418374572093	87	0.4643817204301075	0.49417562724014336	0.736111111111111	0.5622759856630825	0.5602074277434607	0.5306146572104019	0.509338061465721	0.6577792407285495	0.567299626325021	0.5976359338061465	0.5679819391723746	0.07636726711342216	57
