	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_model__subsample	param_model__n_estimators	param_model__min_child_weight	param_model__max_depth	param_model__gamma	param_model__eta	param_model__colsample_bytree	params	split0_test_accuracy	split1_test_accuracy	split2_test_accuracy	split3_test_accuracy	split4_test_accuracy	split5_test_accuracy	split6_test_accuracy	split7_test_accuracy	split8_test_accuracy	split9_test_accuracy	mean_test_accuracy	std_test_accuracy	rank_test_accuracy	split0_test_balanced_accuracy	split1_test_balanced_accuracy	split2_test_balanced_accuracy	split3_test_balanced_accuracy	split4_test_balanced_accuracy	split5_test_balanced_accuracy	split6_test_balanced_accuracy	split7_test_balanced_accuracy	split8_test_balanced_accuracy	split9_test_balanced_accuracy	mean_test_balanced_accuracy	std_test_balanced_accuracy	rank_test_balanced_accuracy
0	6.3744378089904785	0.15050464021127663	0.16123714447021484	0.016850605555459926	1	200	4	10	3	0.01	0.8	{'model__subsample': 1, 'model__n_estimators': 200, 'model__min_child_weight': 4, 'model__max_depth': 10, 'model__gamma': 3, 'model__eta': 0.01, 'model__colsample_bytree': 0.8}	0.7560975609756098	0.6829268292682927	0.6951219512195121	0.7560975609756098	0.7160493827160493	0.7037037037037037	0.6172839506172839	0.75	0.7160493827160493	0.7407407407407407	0.7134071062932851	0.040425600546948395	46	0.6070788530465949	0.47647849462365593	0.6319444444444444	0.514336917562724	0.5958972012506673	0.6972813238770685	0.42293144208037825	0.6724818959842	0.6925951345992526	0.6583924349881797	0.5969418142457166	0.09035689374402495	90
1	15.316428923606873	0.2939192520417978	0.14848692417144777	0.009777148994397859	1	1000	5	8	9	0.07333333333333333	0.9	{'model__subsample': 1, 'model__n_estimators': 1000, 'model__min_child_weight': 5, 'model__max_depth': 8, 'model__gamma': 9, 'model__eta': 0.07333333333333333, 'model__colsample_bytree': 0.9}	0.6829268292682927	0.6951219512195121	0.5975609756097561	0.7073170731707317	0.7530864197530864	0.6296296296296297	0.5925925925925926	0.6785714285714286	0.6790123456790124	0.654320987654321	0.6670140233148364	0.04719595411504698	90	0.5577956989247311	0.6955645161290321	0.7291666666666666	0.4789426523297491	0.6208342865858308	0.650709219858156	0.4127659574468085	0.6158657011191574	0.6676580492640891	0.6047281323877068	0.6034030880711928	0.0922229068051059	81
2	5.296898198127747	0.08714340593249724	0.15982186794281006	0.01929704087758266	1	288	5	9	3	0.11555555555555555	0.8	{'model__subsample': 1, 'model__n_estimators': 288, 'model__min_child_weight': 5, 'model__max_depth': 9, 'model__gamma': 3, 'model__eta': 0.11555555555555555, 'model__colsample_bytree': 0.8}	0.7560975609756098	0.7195121951219512	0.7195121951219512	0.7682926829268293	0.7530864197530864	0.691358024691358	0.691358024691358	0.7142857142857143	0.7160493827160493	0.7530864197530864	0.7282638620036994	0.026136539880329757	30	0.6108870967741935	0.609094982078853	0.6458333333333334	0.525089605734767	0.617173796995348	0.6942080378250591	0.47352245862884157	0.5676431863067807	0.6925951345992526	0.6614657210401891	0.6097513353316618	0.06747454568450038	74
3	8.167932724952697	0.1863209011308618	0.14881424903869628	0.008481406194389925	0.8	200	1	9	0	0.052222222222222225	1	{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 9, 'model__gamma': 0, 'model__eta': 0.052222222222222225, 'model__colsample_bytree': 1}	0.7682926829268293	0.7804878048780488	0.7804878048780488	0.8292682926829268	0.691358024691358	0.7777777777777778	0.7160493827160493	0.7261904761904762	0.7654320987654321	0.7901234567901234	0.762546780229707	0.038315722003153536	8	0.6064068100358423	0.7327508960573477	0.6124999999999999	0.5598118279569892	0.46671242278654773	0.7559101654846335	0.4756501182033097	0.5018652622339258	0.6169450163959429	0.6145390070921986	0.5943091526246738	0.09315402485161912	94
4	4.964195823669433	0.04489927173383217	0.14988229274749756	0.01568378998577529	0.7	288	4	7	5	0.1788888888888889	1	{'model__subsample': 0.7, 'model__n_estimators': 288, 'model__min_child_weight': 4, 'model__max_depth': 7, 'model__gamma': 5, 'model__eta': 0.1788888888888889, 'model__colsample_bytree': 1}	0.7682926829268293	0.7560975609756098	0.6341463414634146	0.7804878048780488	0.7037037037037037	0.7283950617283951	0.6790123456790124	0.7023809523809523	0.7283950617283951	0.7283950617283951	0.7209306577192756	0.04138067208350123	37	0.6140232974910395	0.8382616487455197	0.7583333333333333	0.5320340501792115	0.5778235338976588	0.7154846335697399	0.5386524822695035	0.641321044546851	0.699687333180813	0.6472813238770686	0.6562902681090738	0.09297347414986722	8
5	6.733514189720154	0.10237171679901617	0.1424389123916626	0.0074579284518081134	0.6	377	1	9	7	0.03111111111111111	1	{'model__subsample': 0.6, 'model__n_estimators': 377, 'model__min_child_weight': 1, 'model__max_depth': 9, 'model__gamma': 7, 'model__eta': 0.03111111111111111, 'model__colsample_bytree': 1}	0.7073170731707317	0.7195121951219512	0.5975609756097561	0.7317073170731707	0.7530864197530864	0.6296296296296297	0.5802469135802469	0.6666666666666666	0.6790123456790124	0.6666666666666666	0.6731406202950919	0.054307248836948555	80	0.5793010752688171	0.8136200716845878	0.7291666666666666	0.5004480286738352	0.6208342865858308	0.650709219858156	0.4778959810874704	0.609062980030722	0.6713185388545718	0.6078014184397164	0.6260158267150373	0.09435708162051483	45
6	6.025806188583374	0.05374634584717742	0.1452251195907593	0.010959535932269306	0.9	377	5	4	7	0.1788888888888889	0.8	{'model__subsample': 0.9, 'model__n_estimators': 377, 'model__min_child_weight': 5, 'model__max_depth': 4, 'model__gamma': 7, 'model__eta': 0.1788888888888889, 'model__colsample_bytree': 0.8}	0.7195121951219512	0.7439024390243902	0.6341463414634146	0.7195121951219512	0.7283950617283951	0.5925925925925926	0.5925925925925926	0.7023809523809523	0.654320987654321	0.691358024691358	0.6778713382371919	0.053079854936353414	74	0.5824372759856631	0.7271505376344085	0.6819444444444445	0.49350358422939067	0.5993289102417448	0.6294326241134752	0.40874704491725766	0.6373710774632434	0.6534736521009684	0.6300236406619385	0.6043412791792535	0.08771857867272041	80
7	3.6328888177871703	0.06737045739852829	0.14697773456573487	0.013481857130853599	0.6	200	1	4	5	0.1788888888888889	1	{'model__subsample': 0.6, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 4, 'model__gamma': 5, 'model__eta': 0.1788888888888889, 'model__colsample_bytree': 1}	0.7073170731707317	0.7195121951219512	0.6707317073170732	0.7926829268292683	0.7407407407407407	0.6790123456790124	0.6666666666666666	0.6785714285714286	0.6790123456790124	0.6790123456790124	0.7013259775454899	0.037967076103304354	53	0.5831093189964157	0.7094534050179212	0.7027777777777778	0.5427867383512545	0.6174025775947533	0.6830969267139481	0.5315602836879433	0.5511849901250824	0.6713185388545718	0.6148936170212765	0.6207584174140944	0.06432406677081724	52
8	4.955448150634766	0.09230424004840898	0.15125458240509032	0.010331057339172361	1	288	5	10	5	0.1366666666666667	0.8	{'model__subsample': 1, 'model__n_estimators': 288, 'model__min_child_weight': 5, 'model__max_depth': 10, 'model__gamma': 5, 'model__eta': 0.1366666666666667, 'model__colsample_bytree': 0.8}	0.7682926829268293	0.7073170731707317	0.6341463414634146	0.7439024390243902	0.7283950617283951	0.6790123456790124	0.6172839506172839	0.6904761904761905	0.7160493827160493	0.691358024691358	0.6976233492493653	0.04408712881188411	57	0.6178315412186379	0.59834229390681	0.5972222222222222	0.5073924731182796	0.6029893998322275	0.6830969267139481	0.42293144208037825	0.5500877770463024	0.6925951345992526	0.6219858156028368	0.5894475026340895	0.07589914684199624	97
9	6.244601678848267	0.08747668357618399	0.14725215435028077	0.019611907548936516	1	288	2	5	9	0.01	0.7	{'model__subsample': 1, 'model__n_estimators': 288, 'model__min_child_weight': 2, 'model__max_depth': 5, 'model__gamma': 9, 'model__eta': 0.01, 'model__colsample_bytree': 0.7}	0.6829268292682927	0.7195121951219512	0.5975609756097561	0.7073170731707317	0.7160493827160493	0.6049382716049383	0.6296296296296297	0.6666666666666666	0.691358024691358	0.6419753086419753	0.6657934357121349	0.04279904831179028	91	0.5616039426523297	0.8136200716845878	0.7333333333333334	0.4789426523297491	0.5995576908411501	0.6365248226950354	0.5865248226950355	0.609062980030722	0.6747502478456493	0.6778959810874704	0.6371816545195064	0.08886453559453705	32
