	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_oversampler__k_neighbors	param_model__n_estimators	param_model__max_features	param_model__max_depth	params	split0_test_accuracy	split1_test_accuracy	split2_test_accuracy	split3_test_accuracy	split4_test_accuracy	split5_test_accuracy	split6_test_accuracy	split7_test_accuracy	split8_test_accuracy	split9_test_accuracy	mean_test_accuracy	std_test_accuracy	rank_test_accuracy	split0_test_balanced_accuracy	split1_test_balanced_accuracy	split2_test_balanced_accuracy	split3_test_balanced_accuracy	split4_test_balanced_accuracy	split5_test_balanced_accuracy	split6_test_balanced_accuracy	split7_test_balanced_accuracy	split8_test_balanced_accuracy	split9_test_balanced_accuracy	mean_test_balanced_accuracy	std_test_balanced_accuracy	rank_test_balanced_accuracy
0	1.6746341228485107	0.1480983741977103	0.052496027946472165	0.013429578472403676	1	288	log2	500	{'oversampler__k_neighbors': 1, 'model__n_estimators': 288, 'model__max_features': 'log2', 'model__max_depth': 500}	0.8048780487804879	0.7317073170731707	0.7439024390243902	0.7682926829268293	0.7407407407407407	0.6666666666666666	0.7037037037037037	0.7142857142857143	0.7407407407407407	0.7530864197530864	0.7368004473695531	0.035383666484582486	19	0.6424731182795699	0.492831541218638	0.5069444444444444	0.5174731182795699	0.5133836650652025	0.44728132387706854	0.4645390070921986	0.4871626069782751	0.4877602379318233	0.5049645390070922	0.5064813602173883	0.04983829000412708	28
1	2.382599377632141	0.1298006921687135	0.04428818225860596	0.004411640621765626	1	288	sqrt	460	{'oversampler__k_neighbors': 1, 'model__n_estimators': 288, 'model__max_features': 'sqrt', 'model__max_depth': 460}	0.7926829268292683	0.7439024390243902	0.7439024390243902	0.7926829268292683	0.7283950617283951	0.6790123456790124	0.6790123456790124	0.7142857142857143	0.7407407407407407	0.7777777777777778	0.7392394717597969	0.039036203477209694	5	0.5275537634408601	0.503584229390681	0.5069444444444444	0.5313620071684587	0.5026309768931595	0.450354609929078	0.450354609929078	0.49111257406188286	0.4877602379318233	0.5231678486997636	0.4974825301889229	0.027280542000711908	78
2	6.347097992897034	0.3120193589204686	0.11018850803375244	0.017646720937484504	3	822	sqrt	460	{'oversampler__k_neighbors': 3, 'model__n_estimators': 822, 'model__max_features': 'sqrt', 'model__max_depth': 460}	0.7317073170731707	0.6951219512195121	0.6951219512195121	0.7804878048780488	0.7407407407407407	0.6790123456790124	0.6666666666666666	0.7023809523809523	0.7654320987654321	0.7777777777777778	0.7234449606400826	0.03947452534987154	68	0.4890232974910394	0.47199820788530467	0.4749999999999999	0.5244175627240143	0.5097231754747198	0.450354609929078	0.4432624113475177	0.48430985297344736	0.6059635476244948	0.5231678486997636	0.49772205141493797	0.04456846132231534	77
3	2.5214535713195803	0.09428692066512835	0.0751338243484497	0.005908142034781928	2	555	log2	500	{'oversampler__k_neighbors': 2, 'model__n_estimators': 555, 'model__max_features': 'log2', 'model__max_depth': 500}	0.7682926829268293	0.7195121951219512	0.7317073170731707	0.7682926829268293	0.7530864197530864	0.6790123456790124	0.7037037037037037	0.7023809523809523	0.7407407407407407	0.7654320987654321	0.7332161139071708	0.02983280413005112	28	0.6140232974910395	0.482078853046595	0.5	0.5174731182795699	0.5204758636467628	0.450354609929078	0.46855791962174936	0.48035988588983985	0.5917791504613742	0.5200945626477541	0.5145197261013763	0.04960346100449139	16
4	2.6058067083358765	0.15304722160558437	0.04539484977722168	0.004753590637946981	3	288	sqrt	180	{'oversampler__k_neighbors': 3, 'model__n_estimators': 288, 'model__max_features': 'sqrt', 'model__max_depth': 180}	0.7317073170731707	0.7195121951219512	0.6951219512195121	0.7682926829268293	0.7530864197530864	0.6790123456790124	0.6666666666666666	0.7023809523809523	0.7654320987654321	0.7654320987654321	0.7246644728352045	0.03595629590554019	57	0.4890232974910394	0.4858870967741935	0.4749999999999999	0.5174731182795699	0.51681537405628	0.450354609929078	0.4432624113475177	0.48430985297344736	0.6059635476244948	0.5120567375886526	0.4980146046064274	0.04335544779536337	73
5	7.84027259349823	0.22561491658727062	0.13979032039642333	0.006201567625562472	3	1000	sqrt	260	{'oversampler__k_neighbors': 3, 'model__n_estimators': 1000, 'model__max_features': 'sqrt', 'model__max_depth': 260}	0.7317073170731707	0.6951219512195121	0.6951219512195121	0.7804878048780488	0.7407407407407407	0.6790123456790124	0.6666666666666666	0.6904761904761905	0.7654320987654321	0.7777777777777778	0.7222544844496064	0.04026345308409903	69	0.4890232974910394	0.47199820788530467	0.4791666666666667	0.5244175627240143	0.5097231754747198	0.450354609929078	0.4432624113475177	0.4775071318850121	0.6059635476244948	0.5231678486997636	0.4974584459727612	0.044631322135151315	81
6	1.5558714866638184	0.031485405886474124	0.05035510063171387	0.0019735247400593636	2	288	log2	380	{'oversampler__k_neighbors': 2, 'model__n_estimators': 288, 'model__max_features': 'log2', 'model__max_depth': 380}	0.7560975609756098	0.7195121951219512	0.7439024390243902	0.7682926829268293	0.7407407407407407	0.691358024691358	0.7037037037037037	0.7023809523809523	0.7407407407407407	0.7530864197530864	0.7319815460059362	0.024743964753522602	37	0.6032706093189965	0.482078853046595	0.5833333333333334	0.5174731182795699	0.5133836650652025	0.4614657210401891	0.46855791962174936	0.48035988588983985	0.5917791504613742	0.508983451536643	0.5210685707593493	0.050338216429375866	4
7	4.965772604942321	0.17390220913379734	0.09725151062011719	0.015012529587137294	1	644	sqrt	180	{'oversampler__k_neighbors': 1, 'model__n_estimators': 644, 'model__max_features': 'sqrt', 'model__max_depth': 180}	0.7560975609756098	0.7439024390243902	0.7317073170731707	0.7804878048780488	0.7407407407407407	0.6790123456790124	0.691358024691358	0.7261904761904762	0.7530864197530864	0.7777777777777778	0.7380360906783671	0.03133532239727114	10	0.49910394265232977	0.503584229390681	0.4958333333333333	0.5244175627240143	0.5097231754747198	0.450354609929078	0.4574468085106383	0.4979152951503181	0.4948524365133837	0.5231678486997636	0.495639924237826	0.02318339300693343	88
8	4.086903762817383	0.1507342809155358	0.13691155910491942	0.010134032238358725	2	911	log2	260	{'oversampler__k_neighbors': 2, 'model__n_estimators': 911, 'model__max_features': 'log2', 'model__max_depth': 260}	0.7804878048780488	0.7317073170731707	0.7317073170731707	0.7682926829268293	0.7530864197530864	0.6790123456790124	0.7037037037037037	0.6904761904761905	0.7283950617283951	0.7654320987654321	0.733230094205704	0.03249800397357702	27	0.6209677419354839	0.492831541218638	0.5	0.5174731182795699	0.5204758636467628	0.450354609929078	0.46855791962174936	0.47355716480140436	0.5846869518798139	0.5200945626477541	0.5148999473960254	0.04991716327533468	15
9	2.269337844848633	0.12630270273039174	0.07700824737548828	0.007140758094642937	1	466	log2	220	{'oversampler__k_neighbors': 1, 'model__n_estimators': 466, 'model__max_features': 'log2', 'model__max_depth': 220}	0.7926829268292683	0.7317073170731707	0.7439024390243902	0.7682926829268293	0.7407407407407407	0.6790123456790124	0.7037037037037037	0.7023809523809523	0.7407407407407407	0.7407407407407407	0.7343904589839548	0.03130343230630979	24	0.6317204301075269	0.492831541218638	0.5069444444444444	0.5174731182795699	0.5133836650652025	0.450354609929078	0.46855791962174936	0.4764099188062321	0.4877602379318233	0.49385342789598113	0.5039289313300246	0.04687995774884319	53
