	precision	recall	f1-score	support
BD	0.7653508771929824	0.7331932773109243	0.7489270386266094	476.0
D	0.6766666666666666	0.6633986928104575	0.6699669966996699	306.0
HUS	0.3770491803278688	0.6571428571428571	0.47916666666666663	35.0
accuracy	0.7037943696450428	0.7037943696450428	0.7037943696450428	0.7037943696450428
macro avg	0.6063555747291727	0.6845782757547463	0.6326869006643152	817.0
weighted avg	0.7155002923565912	0.7037943696450428	0.7077968233900837	817.0
