	precision	recall	f1-score	support
BD	0.7668269230769231	0.6701680672268907	0.7152466367713004	476.0
D	0.6435331230283912	0.6666666666666666	0.6548956661316213	306.0
HUS	0.27380952380952384	0.6571428571428571	0.3865546218487395	35.0
accuracy	0.6682986536107711	0.6682986536107711	0.6682986536107711	0.6682986536107711
macro avg	0.5613898566382794	0.6646591970121382	0.5855656415838871	817.0
weighted avg	0.6995276430411707	0.6682986536107711	0.678561670384481	817.0
